BioSourceType-7,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,min_samples_split:6,random_state:1,max_features:sqrt,max_depth:40,500,0.967342491905,0.972093483858,
BioSourceType-7,use PCA data,n_jobs:-1,min_samples_leaf:3,n_estimators:300,min_samples_split:2,random_state:1,max_features:sqrt,max_depth:40,500,0.962151264184,0.966376368729,
BioSourceType-7,use PCA data,n_jobs:-1,min_samples_leaf:3,n_estimators:300,min_samples_split:3,random_state:1,max_features:sqrt,max_depth:40,500,0.962151264184,0.966376368729,
BioSourceType-7,use PCA data,n_jobs:-1,min_samples_leaf:3,n_estimators:300,min_samples_split:4,random_state:1,max_features:sqrt,max_depth:40,500,0.962151264184,0.966376368729,
BioSourceType-7,use PCA data,n_jobs:-1,min_samples_leaf:3,n_estimators:300,min_samples_split:5,random_state:1,max_features:sqrt,max_depth:40,500,0.962151264184,0.966376368729,
BioSourceType-7,use PCA data,n_jobs:-1,min_samples_leaf:3,n_estimators:300,min_samples_split:6,random_state:1,max_features:sqrt,max_depth:40,500,0.962151264184,0.966376368729,
BioSourceType-7,use PCA data,n_jobs:-1,min_samples_leaf:5,n_estimators:300,min_samples_split:2,random_state:1,max_features:sqrt,max_depth:40,500,0.956419310924,0.961332088391,
BioSourceType-7,use PCA data,n_jobs:-1,min_samples_leaf:5,n_estimators:300,min_samples_split:3,random_state:1,max_features:sqrt,max_depth:40,500,0.956419310924,0.961332088391,
BioSourceType-7,use PCA data,n_jobs:-1,min_samples_leaf:5,n_estimators:300,min_samples_split:4,random_state:1,max_features:sqrt,max_depth:40,500,0.956419310924,0.961332088391,
BioSourceType-7,use PCA data,n_jobs:-1,min_samples_leaf:5,n_estimators:300,min_samples_split:5,random_state:1,max_features:sqrt,max_depth:40,500,0.956419310924,0.961332088391,
BioSourceType-7,use PCA data,n_jobs:-1,min_samples_leaf:5,n_estimators:300,min_samples_split:6,random_state:1,max_features:sqrt,max_depth:40,500,0.956419310924,0.961332088391,
BioSourceType-7,use PCA data,n_jobs:-1,min_samples_leaf:7,n_estimators:300,min_samples_split:2,random_state:1,max_features:sqrt,max_depth:40,500,0.946308849535,0.952588065529,
BioSourceType-7,use PCA data,n_jobs:-1,min_samples_leaf:7,n_estimators:300,min_samples_split:3,random_state:1,max_features:sqrt,max_depth:40,500,0.946308849535,0.952588065529,
BioSourceType-7,use PCA data,n_jobs:-1,min_samples_leaf:7,n_estimators:300,min_samples_split:4,random_state:1,max_features:sqrt,max_depth:40,500,0.946308849535,0.952588065529,
BioSourceType-7,use PCA data,n_jobs:-1,min_samples_leaf:7,n_estimators:300,min_samples_split:5,random_state:1,max_features:sqrt,max_depth:40,500,0.946308849535,0.952588065529,
BioSourceType-7,use PCA data,n_jobs:-1,min_samples_leaf:7,n_estimators:300,min_samples_split:6,random_state:1,max_features:sqrt,max_depth:40,500,0.946308849535,0.952588065529,
BioSourceType-7,use PCA data,n_jobs:-1,min_samples_leaf:9,n_estimators:300,min_samples_split:2,random_state:1,max_features:sqrt,max_depth:40,500,0.936192689439,0.94250290015,
BioSourceType-7,use PCA data,n_jobs:-1,min_samples_leaf:9,n_estimators:300,min_samples_split:3,random_state:1,max_features:sqrt,max_depth:40,500,0.936192689439,0.94250290015,
BioSourceType-7,use PCA data,n_jobs:-1,min_samples_leaf:9,n_estimators:300,min_samples_split:4,random_state:1,max_features:sqrt,max_depth:40,500,0.936192689439,0.94250290015,
BioSourceType-7,use PCA data,n_jobs:-1,min_samples_leaf:9,n_estimators:300,min_samples_split:5,random_state:1,max_features:sqrt,max_depth:40,500,0.936192689439,0.94250290015,
BioSourceType-7,use PCA data,n_jobs:-1,min_samples_leaf:9,n_estimators:300,min_samples_split:6,random_state:1,max_features:sqrt,max_depth:40,500,0.936192689439,0.94250290015,
